x_1,x_2,y
4.501999999999999752e-02,5.181999999999999801e-02,1.0
4.589000000000000024e-02,4.703000000000000236e-02,1.0
1.461999999999999932e-02,5.257300000000000306e-01,0.0
4.327000000000000290e-02,4.925999999999999823e-02,1.0
1.592000000000000012e-02,5.731500000000000483e-01,0.0
4.948999999999999927e-02,6.915000000000000313e-02,1.0
1.434000000000000032e-02,5.888700000000000045e-01,0.0
1.231999999999999935e-02,3.749500000000000055e-01,0.0
1.808999999999999844e-02,6.052100000000000257e-01,0.0
4.170999999999999708e-02,5.356999999999999956e-02,1.0
1.403000000000000080e-02,4.906400000000000206e-01,0.0
1.787000000000000047e-02,5.106899999999999773e-01,0.0
4.274000000000000021e-02,8.723000000000000198e-02,1.0
5.897000000000000158e-02,7.617000000000000159e-02,1.0
1.442000000000000053e-02,4.894499999999999962e-01,0.0
4.283000000000000002e-02,5.247000000000000275e-02,1.0
1.427999999999999929e-02,4.566999999999999948e-01,0.0
1.404999999999999999e-02,6.023699999999999610e-01,0.0
5.238999999999999907e-02,5.322999999999999954e-02,1.0
1.460000000000000013e-02,6.233800000000000452e-01,0.0
1.533999999999999947e-02,5.534099999999999575e-01,0.0
1.527000000000000059e-02,5.430500000000000327e-01,0.0
3.967999999999999999e-02,5.942000000000000060e-02,1.0
1.489000000000000046e-02,5.904099999999999904e-01,0.0
1.730999999999999900e-02,8.334700000000000442e-01,0.0
1.422000000000000000e-02,4.438900000000000068e-01,0.0
1.674000000000000141e-02,6.237000000000000322e-01,0.0
1.776000000000000148e-02,5.388399999999999856e-01,0.0
1.990000000000000102e-02,6.944099999999999717e-01,0.0
1.457999999999999921e-02,4.823299999999999810e-01,0.0
1.580000000000000154e-02,6.220099999999999518e-01,0.0
4.109000000000000152e-02,7.248999999999999888e-02,1.0
1.710000000000000062e-02,4.769100000000000006e-01,0.0
5.233000000000000151e-02,5.299999999999999850e-02,1.0
4.402999999999999969e-02,4.716999999999999665e-02,1.0
1.653999999999999915e-02,4.819300000000000250e-01,0.0
1.478999999999999933e-02,4.572800000000000198e-01,0.0
4.977999999999999786e-02,5.208000000000000129e-02,1.0
4.662999999999999784e-02,6.424000000000000543e-02,1.0
4.843999999999999695e-02,4.508000000000000201e-02,1.0
3.903999999999999831e-02,8.423999999999999544e-02,1.0
4.766999999999999710e-02,4.064000000000000251e-02,1.0
4.345000000000000251e-02,6.762999999999999567e-02,1.0
1.616000000000000075e-02,5.301000000000000156e-01,0.0
4.610000000000000209e-02,6.350000000000000089e-02,1.0
5.342000000000000220e-02,6.382000000000000173e-02,1.0
1.463000000000000064e-02,4.303899999999999948e-01,0.0
5.088999999999999774e-02,5.219000000000000028e-02,1.0
1.392000000000000008e-02,4.031100000000000239e-01,0.0
1.484000000000000076e-02,5.574099999999999611e-01,0.0
1.620999999999999872e-02,5.271799999999999820e-01,0.0
4.907000000000000250e-02,5.682999999999999857e-02,1.0
4.012000000000000288e-02,5.215000000000000191e-02,1.0
5.442999999999999922e-02,5.918000000000000344e-02,1.0
1.315000000000000023e-02,4.716099999999999737e-01,0.0
1.504999999999999914e-02,3.878099999999999881e-01,0.0
4.911999999999999700e-02,5.362999999999999712e-02,1.0
4.617999999999999883e-02,5.142000000000000043e-02,1.0
1.426999999999999970e-02,4.462999999999999745e-01,0.0
1.586999999999999869e-02,5.243400000000000283e-01,0.0
1.387000000000000038e-02,5.900199999999999889e-01,0.0
4.537000000000000061e-02,6.580999999999999350e-02,1.0
1.489000000000000046e-02,4.415399999999999880e-01,0.0
4.492000000000000159e-02,5.482999999999999680e-02,1.0
5.086999999999999855e-02,6.411999999999999644e-02,1.0
1.307000000000000002e-02,4.186099999999999821e-01,0.0
1.949000000000000038e-02,8.040800000000000169e-01,0.0
4.567999999999999838e-02,6.877999999999999392e-02,1.0
4.868999999999999717e-02,8.354999999999999927e-02,1.0
5.100999999999999979e-02,5.238999999999999907e-02,1.0
1.671999999999999875e-02,7.499000000000000110e-01,0.0
3.425999999999999879e-02,5.704000000000000042e-02,1.0
4.778999999999999915e-02,6.047000000000000292e-02,1.0
1.319000000000000034e-02,4.477400000000000269e-01,0.0
1.520999999999999956e-02,6.264199999999999768e-01,0.0
1.043000000000000003e-02,4.300700000000000078e-01,0.0
4.376000000000000029e-02,4.796000000000000263e-02,1.0
4.569999999999999757e-02,5.061000000000000221e-02,1.0
2.213999999999999996e-02,1.033809999999999896e+00,0.0
1.627999999999999933e-02,6.292299999999999560e-01,0.0
4.211000000000000160e-02,6.162000000000000116e-02,1.0
4.497999999999999915e-02,7.056999999999999384e-02,1.0
1.737000000000000002e-02,6.716299999999999493e-01,0.0
