x_1,x_2,y
1.696765312198684475e-03,9.935723728453339787e-03,1.0
1.626545098194722393e-03,9.978034349949264220e-03,1.0
1.583907364033380113e-03,1.569508904642961389e-01,0.0
1.013626383309516833e-03,5.453384567857157486e-03,1.0
6.678941489027286202e-04,3.891871816103805067e-03,1.0
7.243068509492701142e-04,5.484278181885314518e-02,0.0
4.462457697015327802e-03,3.243758032559030530e-02,1.0
1.150895272596775100e-03,5.027898267450975692e-03,1.0
2.341186377580683174e-03,1.228062069488630031e-02,1.0
2.328542797549316805e-04,2.412249468616876544e-02,0.0
1.127275127757283984e-03,5.437997802865195303e-03,1.0
2.380282949549563602e-03,1.702051595925485605e-02,1.0
1.237495607917637151e-03,5.745951770658687049e-03,1.0
8.704914596968202530e-04,3.972569156782083423e-03,1.0
8.127827079354220472e-04,8.206056619202692359e-02,0.0
1.432357946209094355e-03,6.578575006518269999e-03,1.0
7.142313318116720643e-04,4.169204463326866596e-03,1.0
9.797125736639461947e-04,8.947376115400121344e-02,0.0
1.020077716741637271e-03,8.978898091006462523e-02,0.0
4.648351605277784384e-04,3.550615348188812526e-02,0.0
6.660729904805678730e-04,6.185250777541027867e-02,0.0
7.375671616074872200e-04,8.598816359452500502e-02,0.0
1.544407989351163305e-03,1.551541397068102734e-01,0.0
8.060497018169058940e-04,3.155848876067714626e-03,1.0
1.598013613248916833e-03,1.048386719644561760e-02,1.0
6.486336669470003620e-04,2.632249928142507862e-03,1.0
3.041483434725094671e-03,2.268319066781761262e-02,1.0
1.536684445489660536e-03,8.086281377180480276e-03,1.0
3.574233278600107296e-04,3.119327022462520249e-02,0.0
4.353679550124930583e-04,3.698593082867441401e-02,0.0
1.213051818221848712e-03,1.261688486806195886e-01,0.0
9.657453804769987066e-04,1.010385199925458166e-01,0.0
3.479071114298634172e-03,2.235476725749436025e-02,1.0
3.138773105647305116e-04,1.418645449632365690e-03,1.0
1.443318575774992863e-03,1.225466079264393715e-01,0.0
1.343691226702546648e-03,6.385168754531067928e-03,1.0
9.438441475507233737e-04,8.531407642167304628e-02,0.0
7.988250719571195939e-04,7.910737925433661277e-02,0.0
1.505090658180005233e-03,1.127536293049396787e-01,0.0
5.279555327035972533e-04,3.251419506158652068e-03,1.0
1.288718400473225440e-03,1.479690827346603899e-01,0.0
1.215510177595585098e-03,5.455840227116322272e-03,1.0
1.675708322216131092e-03,1.438847425414679637e-01,0.0
1.242415554103923521e-03,1.242900677750005678e-01,0.0
4.782582173520692455e-04,5.308784969678227716e-02,0.0
7.966067024351077431e-04,7.165847352198059794e-02,0.0
1.374628528113824508e-03,6.727024377326950785e-03,1.0
1.056717179590443414e-03,9.821364082413078234e-02,0.0
1.334303769642080056e-04,1.107477498699451987e-02,0.0
3.438431108815380899e-04,3.111381690633831937e-02,0.0
9.054856671288820120e-04,6.884997569668233064e-02,0.0
6.072472211715818037e-04,2.990799909123743449e-03,1.0
1.059034109149471726e-03,9.683543796758499467e-02,0.0
1.060370271151181952e-03,9.667785753359789402e-02,0.0
1.206446915846613949e-03,6.737446360005835272e-03,1.0
2.040774961521437964e-03,1.232031197013381402e-02,1.0
1.322160585820978274e-03,6.574963928523022867e-03,1.0
8.682946073459777954e-04,7.489731744850522399e-02,0.0
7.719065202256247772e-04,3.574308520510680997e-03,1.0
1.064295765375632705e-03,9.918448647055756739e-02,0.0
2.882903700688589210e-03,2.707884731820948271e-02,1.0
7.174217690881903647e-04,6.350427248412891801e-02,0.0
5.207726520840295350e-04,2.523680100125743134e-03,1.0
1.606329996169573787e-03,1.206290903944180065e-01,0.0
4.497262099419798809e-04,5.272572622674642079e-02,0.0
8.759290190158943367e-04,7.146046972099183436e-02,0.0
1.087202630468938344e-03,5.503157656495777719e-03,1.0
9.015524860975428776e-04,4.754349680302406150e-03,1.0
1.178573859820347550e-03,1.068754087074736542e-01,0.0
5.226254188962237840e-04,5.730880631783739909e-02,0.0
1.374221881840178910e-03,6.198109917609449619e-03,1.0
1.951856560990545110e-03,1.160684880235690261e-02,1.0
1.723115196610865282e-03,8.666461581894217142e-03,1.0
2.430238327075958694e-03,1.832246738131181052e-02,1.0
6.686333675669781226e-04,3.746671676230941064e-03,1.0
2.346664488550492854e-04,1.883375249469012441e-02,0.0
6.289733879070426520e-04,3.103780738019380845e-03,1.0
6.068027998894902917e-04,4.544629696851566758e-02,0.0
2.933412684661247877e-04,1.490235603775680187e-03,1.0
1.105699185235360388e-03,9.456622092105486377e-02,0.0
2.997343527954601881e-03,1.366345002149370498e-02,1.0
5.768492983100792677e-04,4.315440999099267455e-02,0.0
8.333247923301940552e-04,7.158487406230153172e-02,0.0
9.004976840006463732e-04,6.039393578201684987e-03,1.0
7.294699818513753278e-04,6.440802072528391264e-02,0.0
3.181485495397429523e-04,2.798466390407920723e-02,0.0
6.142162331072893331e-04,4.958868040488897955e-02,0.0
1.172358884515474617e-03,1.073810698397624358e-01,0.0
1.411229581765905371e-03,8.424741339301178647e-03,1.0
4.854019089343747568e-04,3.845130000737215226e-02,0.0
3.041920102868946041e-03,1.342962645154710012e-02,1.0
5.767395015905755476e-04,4.897959584578025910e-02,0.0
9.593454999377947325e-04,5.155631079479391747e-03,1.0
1.336960726910624243e-03,1.006165574757427184e-01,0.0
2.228010412586496104e-03,1.253914922450089994e-02,1.0
1.383455593369368845e-03,1.371095186027247725e-01,0.0
2.841152289517046188e-03,2.824048917375424073e-01,0.0
5.267585412746769898e-04,4.877533442043262973e-02,0.0
1.173957970779653491e-03,4.808737869757946648e-03,1.0
1.474074118597742435e-03,6.748967005161026801e-03,1.0
3.768166452134980048e-04,4.404869319140396894e-02,0.0
1.380849007519103144e-03,1.392001537875293127e-01,0.0
1.038815258445243512e-03,9.284352049561177267e-02,0.0
1.997175611227666476e-03,1.113743253027647644e-02,1.0
9.908971067012696966e-04,1.196939327087308130e-01,0.0
8.897745169501277470e-04,7.542880818776630247e-02,0.0
9.849020340384488821e-04,1.047752988055033474e-01,0.0
1.211845750156659253e-03,6.156008271968287440e-03,1.0
7.601369863839098958e-04,6.810739200056853404e-02,0.0
1.663431633384394783e-03,1.119227182252581325e-02,1.0
3.526375191919088256e-03,2.169367519341144912e-02,1.0
9.598372050944288048e-04,7.873683072516664272e-02,0.0
7.083751036908894454e-04,5.700176754192091966e-02,0.0
1.365953185384666648e-03,9.543419791621558790e-02,0.0
